region,model_key,model_name,run_day,leadtime_hr,lead_label,date_time,rmse,mae,mape,correlation,bias,model_wind_speed,observed_wind_speed
CA,aurora,Aurora,01,144,144h Lead,2025-01-07 00:00:00,,,,,0.1344692707061767,2.6850690841674805,2.5505998134613037
CA,aurora,Aurora,01,144,144h Lead,2025-01-07 06:00:00,,,,,0.7611236572265625,3.3566339015960693,2.595510244369507
CA,aurora,Aurora,01,144,144h Lead,2025-01-07 12:00:00,,,,,-0.0938086509704589,3.4240617752075195,3.5178704261779785
CA,aurora,Aurora,01,144,144h Lead,2025-01-07 18:00:00,,,,,-0.522723913192749,3.978769063949585,4.501492977142334
CA,aurora,Aurora,01,144,144h Lead,2025-01-08 00:00:00,,,,,-0.7937688827514648,3.9006996154785156,4.6944684982299805
CA,aurora,Aurora,01,144,144h Lead,2025-01-08 06:00:00,,,,,-1.2639358043670654,3.545999765396118,4.809935569763184
CA,aurora,Aurora,01,144,144h Lead,2025-01-08 12:00:00,,,,,-0.8568174839019775,3.5066282749176025,4.36344575881958
CA,aurora,Aurora,01,144,144h Lead,2025-01-08 18:00:00,,,,,-0.6175506114959717,3.2992494106292725,3.916800022125244
CA,aurora,Aurora,01,144,144h Lead,2025-01-09 00:00:00,,,,,-0.5356810092926025,2.451911687850952,2.9875926971435547
CA,aurora,Aurora,01,144,144h Lead,2025-01-09 06:00:00,,,,,-0.2541464567184448,1.8926247358322144,2.146771192550659
CA,aurora,Aurora,01,144,144h Lead,2025-01-09 12:00:00,,,,,-0.8465932607650757,1.6576002836227417,2.5041935443878174
CA,aurora,Aurora,01,144,144h Lead,2025-01-09 18:00:00,,,,,-2.4677062034606934,0.892401933670044,3.3601081371307373
CA,aurora,Aurora,01,144,144h Lead,2025-01-10 00:00:00,,,,,-1.9608385562896729,1.5658714771270752,3.526710033416748
CA,aurora,Aurora,01,144,144h Lead,2025-01-10 06:00:00,,,,,-2.0862035751342773,1.2328290939331055,3.319032669067383
CA,aurora,Aurora,01,144,144h Lead,2025-01-10 12:00:00,,,,,-1.5994296073913574,1.2139146327972412,2.8133442401885986
CA,aurora,Aurora,01,144,144h Lead,2025-01-10 18:00:00,,,,,-1.412235677242279,0.9449976086616516,2.3572332859039307
CA,aurora,Aurora,01,144,144h Lead,2025-01-11 00:00:00,,,,,-0.5450206995010376,1.9255021810531616,2.470522880554199
CA,aurora,Aurora,01,144,144h Lead,,1.198703793458625,0.9854149012004628,30.69178834536228,0.6548773113192269,,,
CA,aurora,Aurora,03,96,96h Lead,2025-01-07 00:00:00,,,,,-0.5525615215301514,1.9980382919311523,2.5505998134613037
CA,aurora,Aurora,03,96,96h Lead,2025-01-07 06:00:00,,,,,-0.8530596494674683,1.7424505949020386,2.595510244369507
CA,aurora,Aurora,03,96,96h Lead,2025-01-07 12:00:00,,,,,-1.5506360530853271,1.9672343730926514,3.5178704261779785
CA,aurora,Aurora,03,96,96h Lead,2025-01-07 18:00:00,,,,,-2.1222169399261475,2.3792760372161865,4.501492977142334
CA,aurora,Aurora,03,96,96h Lead,2025-01-08 00:00:00,,,,,-1.661240816116333,3.0332276821136475,4.6944684982299805
CA,aurora,Aurora,03,96,96h Lead,2025-01-08 06:00:00,,,,,-1.1933364868164062,3.6165990829467773,4.809935569763184
CA,aurora,Aurora,03,96,96h Lead,2025-01-08 12:00:00,,,,,-0.6870834827423096,3.6763622760772705,4.36344575881958
CA,aurora,Aurora,03,96,96h Lead,2025-01-08 18:00:00,,,,,0.347480297088623,4.264280319213867,3.916800022125244
CA,aurora,Aurora,03,96,96h Lead,2025-01-09 00:00:00,,,,,0.731351375579834,3.7189440727233887,2.9875926971435547
CA,aurora,Aurora,03,96,96h Lead,2025-01-09 06:00:00,,,,,0.9750819206237792,3.1218531131744385,2.146771192550659
CA,aurora,Aurora,03,96,96h Lead,2025-01-09 12:00:00,,,,,0.147923469543457,2.6521170139312744,2.5041935443878174
CA,aurora,Aurora,03,96,96h Lead,2025-01-09 18:00:00,,,,,-0.843233585357666,2.5168745517730713,3.3601081371307373
CA,aurora,Aurora,03,96,96h Lead,2025-01-10 00:00:00,,,,,-1.335829257965088,2.19088077545166,3.526710033416748
CA,aurora,Aurora,03,96,96h Lead,2025-01-10 06:00:00,,,,,-1.159757375717163,2.1592752933502197,3.319032669067383
CA,aurora,Aurora,03,96,96h Lead,2025-01-10 12:00:00,,,,,-0.586876392364502,2.2264678478240967,2.8133442401885986
CA,aurora,Aurora,03,96,96h Lead,2025-01-10 18:00:00,,,,,-0.6993808746337891,1.6578524112701416,2.3572332859039307
CA,aurora,Aurora,03,96,96h Lead,2025-01-11 00:00:00,,,,,-0.92833411693573,1.5421887636184692,2.470522880554199
CA,aurora,Aurora,03,96,96h Lead,,1.078161117912754,0.963257859734928,28.964629412407383,0.5071676846624049,,,
CA,aurora,Aurora,05,48,48h Lead,2025-01-07 00:00:00,,,,,-0.406285285949707,2.1443145275115967,2.5505998134613037
CA,aurora,Aurora,05,48,48h Lead,2025-01-07 06:00:00,,,,,-0.5717196464538574,2.0237905979156494,2.595510244369507
CA,aurora,Aurora,05,48,48h Lead,2025-01-07 12:00:00,,,,,-0.97672438621521,2.5411460399627686,3.5178704261779785
CA,aurora,Aurora,05,48,48h Lead,2025-01-07 18:00:00,,,,,-1.4574873447418213,3.0440056324005127,4.501492977142334
CA,aurora,Aurora,05,48,48h Lead,2025-01-08 00:00:00,,,,,-1.2923521995544434,3.402116298675537,4.6944684982299805
CA,aurora,Aurora,05,48,48h Lead,2025-01-08 06:00:00,,,,,-1.1870782375335691,3.6228573322296143,4.809935569763184
CA,aurora,Aurora,05,48,48h Lead,2025-01-08 12:00:00,,,,,-0.6104438304901123,3.7530019283294678,4.36344575881958
CA,aurora,Aurora,05,48,48h Lead,2025-01-08 18:00:00,,,,,-0.1101703643798828,3.8066296577453613,3.916800022125244
CA,aurora,Aurora,05,48,48h Lead,2025-01-09 00:00:00,,,,,-0.339052677154541,2.6485400199890137,2.9875926971435547
CA,aurora,Aurora,05,48,48h Lead,2025-01-09 06:00:00,,,,,-0.1255702972412109,2.0212008953094482,2.146771192550659
CA,aurora,Aurora,05,48,48h Lead,2025-01-09 12:00:00,,,,,-0.6622911691665649,1.8419023752212524,2.5041935443878174
CA,aurora,Aurora,05,48,48h Lead,2025-01-09 18:00:00,,,,,-1.989055156707764,1.3710529804229736,3.3601081371307373
CA,aurora,Aurora,05,48,48h Lead,2025-01-10 00:00:00,,,,,-1.5563019514083862,1.9704080820083618,3.526710033416748
CA,aurora,Aurora,05,48,48h Lead,2025-01-10 06:00:00,,,,,-1.0938148498535156,2.225217819213867,3.319032669067383
CA,aurora,Aurora,05,48,48h Lead,2025-01-10 12:00:00,,,,,-0.681020975112915,2.1323232650756836,2.8133442401885986
